C;Ursa Minor;16.76615597;82
22.39267678;52.22949951;22.52149326;50.28244976	
22.52149326;50.28244976;22.40860992;49.47640074	
22.40860992;49.47640074;22.49217298;47.70689488	
22.49217298;47.70689488;22.35042452;46.53656484	
22.35042452;46.53656484;22.50812822;43.12338985	
22.50812822;43.12338985;22.23130596;39.71488928	
22.23130596;39.71488928;22.26615838;37.74873483
C;Pegasus;22.5;19.5
22.69102078;10.83139111;22.16994993;6.197789	
22.69102078;10.83139111;21.73642787;9.87500791	
22.69102078;10.83139111;22.77817819;12.17408381
22.77817819;12.17408381;23.07933801;15.20536786	
23.07933801;15.20536786;22.77551177;23.56567939	
23.07933801;15.20536786;23.06287038;28.08245462	
23.07933801;15.20536786;0.22059721;15.18361593	
23.06287038;28.08245462;0.22059721;15.18361593	
22.77817819;12.17408381;22.11679848;25.3450461
22.11679848;25.3450461;21.74185847;17.35004352	
22.11679848;25.3450461;21.7440845;25.64500284	
21.7440845;25.64500284;21.36809274;19.80435581	
22.11679848;25.3450461;22.77551177;23.56567939	
22.77551177;23.56567939;22.8333612;24.60168486	
22.8333612;24.60168486;22.71670238;30.22130866	
22.71670238;30.22130866;22.16645906;33.17826747
C;Cetus;1.5;-14.5
1.73475762;-15.93955597;0.7264523;-17.9866841
0.7264523;-17.9866841;0.32380084;-8.82382948	
0.32380084;-8.82382948;1.40040311;-8.18275372	
1.40040311;-8.18275372;1.85766961;-10.33494526	
1.85766961;-10.33494526;2.37011301;-0.88474037	
2.37011301;-0.88474037;2.65804119;0.3285168
2.65804119;0.3285168;2.00006244;-21.07777193	
2.00006244;-21.07777193;0.7264523;-17.9866841	
2.65804119;0.3285168;2.72170126;3.23617162
2.72170126;3.23617162;3.03799418;4.08992539	
3.03799418;4.08992539;2.99524897;8.90740111	
2.99524897;8.90740111;2.59791361;5.59330163	
2.59791361;5.59330163;2.72170126;3.23617162
C;Orion;5.7;1.5
5.24229756;-8.20163919;5.40794918;-2.39713844	
5.40794918;-2.39713844;5.53344437;-0.2990934
5.53344437;-0.2990934;5.60355904;-1.20191725	
5.60355904;-1.20191725;5.67931244;-1.94257841
5.67931244;-1.94257841;5.79594109;-9.66960186	
5.67931244;-1.94257841;5.91952477;7.40703634
5.91952477;7.40703634;6.03971954;9.64736756	
6.03971954;9.64736756;6.12620051;14.76852318
6.12620051;14.76852318;6.1989991;14.20881425	
6.1989991;14.20881425;6.24748218;19.15688949	
6.24748218;19.15688949;6.06532876;20.13845865	
6.06532876;20.13845865;6.12620051;14.76852318	
5.91952477;7.40703634;5.51306886;5.94821792	
5.51306886;5.94821792;5.58034384;9.48958528	
5.51306886;5.94821792;5.41885227;6.34973451
5.53344437;-0.2990934;5.41885227;6.34973451	
5.41885227;6.34973451;4.83059395;6.96124744
4.83059395;6.96124744;4.853435;5.60510146	
4.853435;5.60510146;4.88965424;2.50826491	
4.88965424;2.50826491;4.97580635;1.71403506	
4.83059395;6.96124744;4.84353396;8.90025258	
4.84353396;8.90025258;4.9130296;11.42597336	
4.9130296;11.42597336;4.93953363;13.51457755
C;Canis Minor;7.5;6.9
7.65514946;5.22750767;7.45252008;8.28940893	
C;Canis Major;6.9;-20
6.37832983;-17.95591658;6.61138858;-19.25570928	
6.61138858;-19.25570928;6.53093562;-23.41843727	
6.61138858;-19.25570928;6.7525694;-16.71314306	
6.61138858;-19.25570928;6.90220967;-24.18422296	
6.90220967;-24.18422296;6.9770963;-28.97208931	
6.9770963;-28.97208931;6.33855198;-30.06337656	
6.9770963;-28.97208931;6.83068485;-32.50848752	
6.9770963;-28.97208931;7.02865325;-27.93484165	
7.02865325;-27.93484165;7.13985723;-26.39320776
7.13985723;-26.39320776;7.24685045;-26.77268601	
7.24685045;-26.77268601;7.40158473;-29.30311979	
7.13985723;-26.39320776;7.05040932;-23.83330131	
7.05040932;-23.83330131;6.89247515;-20.22426366	
6.89247515;-20.22426366;6.7525694;-16.71314306	
6.7525694;-16.71314306;6.93561842;-17.05424675
6.93561842;-17.05424675;7.06263699;-15.63325876	
7.06263699;-15.63325876;6.90318908;-12.03859273	
6.90318908;-12.03859273;6.93561842;-17.05424675
C;Lepus;5.5;-17.8
5.2155203;-16.20542901;5.22052361;-12.94128833	
5.2155203;-16.20542901;5.32625721;-13.17677698	
5.2155203;-16.20542901;5.54550386;-17.82229227
5.2155203;-16.20542901;5.09101447;-22.37085673	
5.09101447;-22.37085673;5.47075731;-20.75923214	
5.47075731;-20.75923214;5.54550386;-17.82229227	
5.47075731;-20.75923214;5.74110416;-22.44748663	
5.74110416;-22.44748663;5.85532022;-20.87751376	
5.85532022;-20.87751376;6.08309238;-16.48442713	
6.08309238;-16.48442713;5.94008841;-14.16803805	
5.94008841;-14.16803805;5.78259715;-14.82194717	
5.78259715;-14.82194717;5.54550386;-17.82229227
C;Monoceros;7.2;-0.5
8.14323824;-2.98377649;7.99560686;-3.67957835	
7.99560686;-3.67957835;7.68746574;-9.55108315	
7.99560686;-3.67957835;7.19773899;-0.49278056	
7.19773899;-0.49278056;6.48029836;-7.03305042	
6.48029836;-7.03305042;6.24759346;-6.27472737	
7.19773899;-0.49278056;6.79768245;2.41218914	
6.79768245;2.41218914;6.39613824;4.59283881	
6.79768245;2.41218914;6.5483971;7.33297921	
6.39613824;4.59283881;6.5483971;7.33297921	
6.5483971;7.33297921;6.6829614;9.89576021
